,atom1,atom2,atom3,"D(1,2)","D(2,3)","D(1,3)",A(1),A(2),A(3)
18,1,3,8,2.4276939675338,2.3344213415748234,3.6966645776970353,-0.7558148237451537,-0.6915444541467419,-0.8498625381451296
19,1,3,9,2.4276939675338,3.5965063603447165,4.320239113752847,-0.7558148237451537,-0.8982989474632,-0.382175966115584
20,1,3,10,2.4276939675338,4.772280586889251,5.719117938983249,-0.7558148237451537,0.05985580768172117,0.845087578856726
21,1,3,11,2.4276939675338,4.979107048457585,6.361950094114225,-0.7558148237451537,0.26356697540068225,0.9968996575159615
22,1,3,12,2.4276939675338,5.934895955280093,6.5423135051753665,-0.7558148237451537,0.9399579155934868,0.9666137341996236
23,1,3,13,2.4276939675338,6.157050105367019,6.266112510959247,-0.7558148237451537,0.9920554969622654,0.9998542633546086
24,1,3,14,2.4276939675338,7.4640012057876834,7.41449216062705,-0.7558148237451537,0.380170312902999,0.42547750974014636
25,1,3,15,2.4276939675338,5.311114195722024,5.021208420290875,-0.7558148237451537,0.5635898897031748,0.30393413711253076
26,1,3,16,2.4276939675338,3.992000250500995,3.9118558255641265,-0.7558148237451537,-0.6596768714976504,-0.717727441466843
27,1,4,5,2.968292606870153,2.3897374332758816,2.8968096243971555,-0.9850210916107225,-0.730423020346366,-0.9701899297785898
